Betreiber: LfU;;;
Pegelkennziffer (PKZ): 6919600;;;
Messstellenname: Frankfurt (Oder), Beckmannstraße;;;
Gewaessername: Klinge;;;
AEo [qkm]: 20,95;;;
Pegelnullpunkt: 23,177  DHHN2016 ;;;
ETRS 89_3_Ost: 468707,37003;;;
ETRS 89_3_Nord: 5800074,780486;;;
Geografische Laenge:  14,540582;;;
Geografische Breite:  52,350073;;;
Parameter: W [cm];;;
Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
12.05.1983;Terminwerte;9;Gut
13.05.1983;Terminwerte;9;Gut
14.05.1983;Terminwerte;9;Gut
15.05.1983;Terminwerte;9;Gut
16.05.1983;Terminwerte;7;Gut
17.05.1983;Terminwerte;7;Gut
18.05.1983;Terminwerte;7;Gut
19.05.1983;Terminwerte;6;Gut
20.05.1983;Terminwerte;8;Gut
21.05.1983;Terminwerte;6;Gut
22.05.1983;Terminwerte;5;Gut
23.05.1983;Terminwerte;6;Gut
24.05.1983;Terminwerte;27;Gut
25.05.1983;Terminwerte;8;Gut
26.05.1983;Terminwerte;7;Gut
27.05.1983;Terminwerte;8;Gut
28.05.1983;Terminwerte;11;Gut
29.05.1983;Terminwerte;10;Gut
30.05.1983;Terminwerte;9;Gut
31.05.1983;Terminwerte;9;Gut
01.06.1983;Terminwerte;7;Gut
02.06.1983;Terminwerte;7;Gut
03.06.1983;Terminwerte;7;Gut
04.06.1983;Terminwerte;6;Gut
05.06.1983;Terminwerte;7;Gut
06.06.1983;Terminwerte;7;Gut
07.06.1983;Terminwerte;7;Gut
08.06.1983;Terminwerte;7;Gut
09.06.1983;Terminwerte;8;Gut
10.06.1983;Terminwerte;9;Gut
11.06.1983;Terminwerte;7;Gut
12.06.1983;Terminwerte;7;Gut
13.06.1983;Terminwerte;8;Gut
14.06.1983;Terminwerte;10;Gut
15.06.1983;Terminwerte;21;Gut
16.06.1983;Terminwerte;10;Gut
17.06.1983;Terminwerte;8;Gut
18.06.1983;Terminwerte;8;Gut
19.06.1983;Terminwerte;7;Gut
20.06.1983;Terminwerte;7;Gut
21.06.1983;Terminwerte;8;Gut
22.06.1983;Terminwerte;8;Gut
23.06.1983;Terminwerte;8;Gut
24.06.1983;Terminwerte;8;Gut
25.06.1983;Terminwerte;8;Gut
26.06.1983;Terminwerte;8;Gut
27.06.1983;Terminwerte;29;Gut
28.06.1983;Terminwerte;11;Gut
29.06.1983;Terminwerte;9;Gut
30.06.1983;Terminwerte;8;Gut
01.07.1983;Terminwerte;7;Gut
02.07.1983;Terminwerte;7;Gut
03.07.1983;Terminwerte;7;Gut
04.07.1983;Terminwerte;6;Gut
