Datum;Uhrzeit;Relativer Wert [cm];Qualität (rel. Wert)
07.04.1938;00:00:00;196;Genügend
08.04.1938;00:00:00;202;Genügend
09.04.1938;00:00:00;190;Genügend
10.04.1938;00:00:00;194;Genügend
11.04.1938;00:00:00;200;Genügend
12.04.1938;00:00:00;196;Genügend
13.04.1938;00:00:00;196;Genügend
14.04.1938;00:00:00;202;Genügend
15.04.1938;00:00:00;198;Genügend
16.04.1938;00:00:00;192;Genügend
17.04.1938;00:00:00;190;Genügend
18.04.1938;00:00:00;188;Genügend
19.04.1938;00:00:00;192;Genügend
20.04.1938;00:00:00;192;Genügend
21.04.1938;00:00:00;198;Genügend
22.04.1938;00:00:00;200;Genügend
23.04.1938;00:00:00;200;Genügend
24.04.1938;00:00:00;200;Genügend
25.04.1938;00:00:00;200;Genügend
26.04.1938;00:00:00;200;Genügend
27.04.1938;00:00:00;202;Genügend
28.04.1938;00:00:00;200;Genügend
29.04.1938;00:00:00;202;Genügend
30.04.1938;00:00:00;198;Genügend
01.05.1938;00:00:00;194;Genügend
02.05.1938;00:00:00;194;Genügend
03.05.1938;00:00:00;198;Genügend
04.05.1938;00:00:00;192;Genügend
05.05.1938;00:00:00;194;Genügend
06.05.1938;00:00:00;194;Genügend
07.05.1938;00:00:00;196;Genügend
08.05.1938;00:00:00;188;Genügend
09.05.1938;00:00:00;192;Genügend
10.05.1938;00:00:00;190;Genügend
11.05.1938;00:00:00;192;Genügend
12.05.1938;00:00:00;192;Genügend
13.05.1938;00:00:00;194;Genügend
14.05.1938;00:00:00;190;Genügend
15.05.1938;00:00:00;192;Genügend
16.05.1938;00:00:00;196;Genügend
17.05.1938;00:00:00;192;Genügend
18.05.1938;00:00:00;198;Genügend
19.05.1938;00:00:00;194;Genügend
20.05.1938;00:00:00;194;Genügend
21.05.1938;00:00:00;190;Genügend
22.05.1938;00:00:00;194;Genügend
23.05.1938;00:00:00;198;Genügend
24.05.1938;00:00:00;194;Genügend
25.05.1938;00:00:00;190;Genügend
26.05.1938;00:00:00;188;Genügend
27.05.1938;00:00:00;202;Genügend
28.05.1938;00:00:00;188;Genügend
29.05.1938;00:00:00;192;Genügend
30.05.1938;00:00:00;200;Genügend
31.05.1938;00:00:00;198;Genügend
01.06.1938;00:00:00;200;Genügend
02.06.1938;00:00:00;204;Genügend
03.06.1938;00:00:00;198;Genügend
04.06.1938;00:00:00;196;Genügend
